logical_group_id,partition,test_domain,class_index,class_name,support,precision,recall,f1
ablation_channels__direction__transformer,combined,outer,11,Unspecified,5680,0.758284298544441,0.862147887323944,0.8068874608667
ablation_channels__direction__transformer,combined,outer,12,VoIP,1569,0.128677912907022,0.418100701083493,0.196790160491975
ablation_channels__direction__transformer,combined,outer,13,Web,110690,0.971926219320197,0.529831059716325,0.685805497249037
ablation_channels__direction_size__cnn1d,combined,inner,0,Chat,3985,0.73508260447036,0.949058971141782,0.828477546549836
ablation_channels__direction_size__cnn1d,combined,inner,1,Cloud,5778,0.860154709540422,0.981481481481482,0.916821598900655
ablation_channels__direction_size__cnn1d,combined,inner,2,Collaborative,6632,0.587658592848904,0.92189384800965,0.717774125381545
ablation_channels__direction_size__cnn1d,combined,inner,3,ConnCheck,281,0.904109589041096,0.939501779359431,0.921465968586387
ablation_channels__direction_size__cnn1d,combined,inner,4,Database,327,0.891737891737892,0.957186544342508,0.92330383480826
ablation_channels__direction_size__cnn1d,combined,inner,5,Download,651,0.689173457508731,0.90937019969278,0.784105960264901
ablation_channels__direction_size__cnn1d,combined,inner,6,Email,391,0.740234375,0.969309462915601,0.839424141749723
ablation_channels__direction_size__cnn1d,combined,inner,7,Network,84447,0.999189743100901,0.993001527585349,0.996086024315351
ablation_channels__direction_size__cnn1d,combined,inner,8,SocialNetwork,3883,0.953257086026852,0.987380891063611,0.970018975332068
ablation_channels__direction_size__cnn1d,combined,inner,9,SoftwareUpdate,737,0.769230769230769,0.922659430122117,0.838988278840222
ablation_channels__direction_size__cnn1d,combined,inner,10,System,1230,0.933689024390244,0.995934959349594,0.963808025177026
ablation_channels__direction_size__cnn1d,combined,inner,11,Unspecified,5680,0.96362376580634,0.979401408450704,0.971448528769755
ablation_channels__direction_size__cnn1d,combined,inner,12,VoIP,1569,0.607428115015974,0.969407265774379,0.746869629265897
ablation_channels__direction_size__cnn1d,combined,inner,13,Web,110690,0.994252984398203,0.931520462553076,0.961864960167167
ablation_channels__direction_size__cnn1d,combined,outer,0,Chat,3985,0.704366640440598,0.89861982434128,0.789723232991509
ablation_channels__direction_size__cnn1d,combined,outer,1,Cloud,5778,0.775944361107323,0.984769816545517,0.867973457402181
ablation_channels__direction_size__cnn1d,combined,outer,2,Collaborative,6632,0.678666666666667,0.844240048250905,0.752452627335036
ablation_channels__direction_size__cnn1d,combined,outer,3,ConnCheck,281,0.46140350877193,0.935943060498221,0.618096357226792
ablation_channels__direction_size__cnn1d,combined,outer,4,Database,327,0.886685552407932,0.957186544342508,0.920588235294118
ablation_channels__direction_size__cnn1d,combined,outer,5,Download,651,0.785582255083179,0.65284178187404,0.713087248322148
ablation_channels__direction_size__cnn1d,combined,outer,6,Email,391,0.753479125248509,0.969309462915601,0.847874720357942
ablation_channels__direction_size__cnn1d,combined,outer,7,Network,84447,0.999186544488839,0.989093751110164,0.994114531572652
ablation_channels__direction_size__cnn1d,combined,outer,8,SocialNetwork,3883,0.931336742147553,0.985063095544682,0.957446808510638
