physical_group_id,seed,test_domain,metric,value
primary__sequential_splt__lstm__train_outer,44,inner,weighted_f1,0.9652039131658771
primary__sequential_splt__lstm__train_outer,44,inner,macro_ovr_average_precision,0.9670324233992966
primary__sequential_splt__lstm__train_outer,44,outer,accuracy,0.9639651583650417
primary__sequential_splt__lstm__train_outer,44,outer,balanced_accuracy,0.9626931479839399
primary__sequential_splt__lstm__train_outer,44,outer,macro_f1,0.9025788516510331
primary__sequential_splt__lstm__train_outer,44,outer,weighted_f1,0.9665460461498725
primary__sequential_splt__lstm__train_outer,44,outer,macro_ovr_average_precision,0.9684461220576006
primary__sequential_splt__transformer__train_inner,42,inner,accuracy,0.9228923329842099
primary__sequential_splt__transformer__train_inner,42,inner,balanced_accuracy,0.9385129871448056
primary__sequential_splt__transformer__train_inner,42,inner,macro_f1,0.7907590339401812
primary__sequential_splt__transformer__train_inner,42,inner,weighted_f1,0.9324033378023859
primary__sequential_splt__transformer__train_inner,42,inner,macro_ovr_average_precision,0.9196059888612247
primary__sequential_splt__transformer__train_inner,42,outer,accuracy,0.9259195425157216
primary__sequential_splt__transformer__train_inner,42,outer,balanced_accuracy,0.8802449929976491
primary__sequential_splt__transformer__train_inner,42,outer,macro_f1,0.7476035570916749
primary__sequential_splt__transformer__train_inner,42,outer,weighted_f1,0.9334841503280256
primary__sequential_splt__transformer__train_inner,42,outer,macro_ovr_average_precision,0.8710764293621833
primary__sequential_splt__transformer__train_inner,43,inner,accuracy,0.9403573433032381
primary__sequential_splt__transformer__train_inner,43,inner,balanced_accuracy,0.9588648420315778
primary__sequential_splt__transformer__train_inner,43,inner,macro_f1,0.8549084661454265
primary__sequential_splt__transformer__train_inner,43,inner,weighted_f1,0.9468438188115702
primary__sequential_splt__transformer__train_inner,43,inner,macro_ovr_average_precision,0.9536965844344858
primary__sequential_splt__transformer__train_inner,43,outer,accuracy,0.9485109222603754
primary__sequential_splt__transformer__train_inner,43,outer,balanced_accuracy,0.9269497001247123
primary__sequential_splt__transformer__train_inner,43,outer,macro_f1,0.8194623825129735
primary__sequential_splt__transformer__train_inner,43,outer,weighted_f1,0.9523401313215447
primary__sequential_splt__transformer__train_inner,43,outer,macro_ovr_average_precision,0.925182007830153
primary__sequential_splt__transformer__train_inner,44,inner,accuracy,0.9354475187930051
primary__sequential_splt__transformer__train_inner,44,inner,balanced_accuracy,0.9491486339298877
primary__sequential_splt__transformer__train_inner,44,inner,macro_f1,0.8247601502877261
primary__sequential_splt__transformer__train_inner,44,inner,weighted_f1,0.9422097190150691
primary__sequential_splt__transformer__train_inner,44,inner,macro_ovr_average_precision,0.9408681651384854
primary__sequential_splt__transformer__train_inner,44,outer,accuracy,0.939398358677927
primary__sequential_splt__transformer__train_inner,44,outer,balanced_accuracy,0.9065919136685218
primary__sequential_splt__transformer__train_inner,44,outer,macro_f1,0.7886869512845479
primary__sequential_splt__transformer__train_inner,44,outer,weighted_f1,0.9444717117116735
primary__sequential_splt__transformer__train_inner,44,outer,macro_ovr_average_precision,0.9043352305703685
primary__sequential_splt__transformer__train_outer,42,inner,accuracy,0.913673706586059
primary__sequential_splt__transformer__train_outer,42,inner,balanced_accuracy,0.9230730729774667
primary__sequential_splt__transformer__train_outer,42,inner,macro_f1,0.7609442393825147
primary__sequential_splt__transformer__train_outer,42,inner,weighted_f1,0.9263761900277531
primary__sequential_splt__transformer__train_outer,42,inner,macro_ovr_average_precision,0.9040490310969477
primary__sequential_splt__transformer__train_outer,42,outer,accuracy,0.9372726830798874
primary__sequential_splt__transformer__train_outer,42,outer,balanced_accuracy,0.9387607637891529
primary__sequential_splt__transformer__train_outer,42,outer,macro_f1,0.8161050224695436
primary__sequential_splt__transformer__train_outer,42,outer,weighted_f1,0.9433630304935261
primary__sequential_splt__transformer__train_outer,42,outer,macro_ovr_average_precision,0.9265617860361628
primary__sequential_splt__transformer__train_outer,43,inner,accuracy,0.9159319607037267
primary__sequential_splt__transformer__train_outer,43,inner,balanced_accuracy,0.9400076906083363
primary__sequential_splt__transformer__train_outer,43,inner,macro_f1,0.7753336474944043
primary__sequential_splt__transformer__train_outer,43,inner,weighted_f1,0.9279090332029417
primary__sequential_splt__transformer__train_outer,43,inner,macro_ovr_average_precision,0.9237359132082652
primary__sequential_splt__transformer__train_outer,43,outer,accuracy,0.9362076356388738
primary__sequential_splt__transformer__train_outer,43,outer,balanced_accuracy,0.9487917899476315
primary__sequential_splt__transformer__train_outer,43,outer,macro_f1,0.8225970430623109
primary__sequential_splt__transformer__train_outer,43,outer,weighted_f1,0.9427283003463868
primary__sequential_splt__transformer__train_outer,43,outer,macro_ovr_average_precision,0.9368473181936929
primary__sequential_splt__transformer__train_outer,44,inner,accuracy,0.9082512451332635
primary__sequential_splt__transformer__train_outer,44,inner,balanced_accuracy,0.9378158284104575
primary__sequential_splt__transformer__train_outer,44,inner,macro_f1,0.7800967119573163
primary__sequential_splt__transformer__train_outer,44,inner,weighted_f1,0.9230295156426134
primary__sequential_splt__transformer__train_outer,44,inner,macro_ovr_average_precision,0.9280786082472379
primary__sequential_splt__transformer__train_outer,44,outer,accuracy,0.9353414559773026
primary__sequential_splt__transformer__train_outer,44,outer,balanced_accuracy,0.9551685920868953
primary__sequential_splt__transformer__train_outer,44,outer,macro_f1,0.838374728252926
primary__sequential_splt__transformer__train_outer,44,outer,weighted_f1,0.942817917555843
primary__sequential_splt__transformer__train_outer,44,outer,macro_ovr_average_precision,0.9473031008803728
