logical_group_id,representation,model,train_session,test_session,metric,replicates,inner_estimate,inner_ci_low,inner_ci_high,outer_estimate,outer_ci_low,outer_ci_high,gap_estimate,gap_ci_low,gap_ci_high
cross_session__matched_flow_stats__random_forest,matched_flow_stats,random_forest,2,1,balanced_accuracy,1000,0.83804115225712,0.829333931565032,0.846663426505258,0.702759667191439,0.693944195394413,0.711753746348053,-0.135281485065681,-0.141943775011612,-0.128566826502853
cross_session__matched_flow_stats__random_forest,matched_flow_stats,random_forest,2,1,macro_f1,1000,0.831569234071887,0.824413340764186,0.838040386236374,0.701955082065325,0.693282783996864,0.70979969683286,-0.129614152006562,-0.136147899167681,-0.123242363287653
cross_session__matched_flow_stats__xgboost,matched_flow_stats,xgboost,1,2,balanced_accuracy,1000,0.853826003512346,0.843899147670537,0.862501574377564,0.715134002895827,0.704407761062491,0.726003946442085,-0.138692000616518,-0.146963675019885,-0.130036694259858
cross_session__matched_flow_stats__xgboost,matched_flow_stats,xgboost,1,2,macro_f1,1000,0.828152235714841,0.819902493056452,0.835040750089489,0.709618325213033,0.699639054647398,0.718438472532084,-0.118533910501808,-0.126431387090986,-0.111186378141914
cross_session__matched_flow_stats__xgboost,matched_flow_stats,xgboost,2,1,balanced_accuracy,1000,0.849549802022791,0.840661119513942,0.857857261941243,0.691149266843884,0.682559775515363,0.70026781831058,-0.158400535178907,-0.166818742939465,-0.150344572173183
cross_session__matched_flow_stats__xgboost,matched_flow_stats,xgboost,2,1,macro_f1,1000,0.842251406622934,0.835016816000158,0.848932035638916,0.687766344119405,0.67856932298614,0.696252437867741,-0.154485062503529,-0.162268341245462,-0.147294870216069
cross_session__prefix_stats__random_forest,prefix_stats,random_forest,1,2,balanced_accuracy,1000,0.836658823748965,0.827103613112119,0.84632469182731,0.690607688986008,0.680436870969329,0.70175870078912,-0.146051134762957,-0.154488280190997,-0.137300597261865
cross_session__prefix_stats__random_forest,prefix_stats,random_forest,1,2,macro_f1,1000,0.831913256437369,0.823760875677863,0.839943919880805,0.699201513806458,0.689416934112675,0.709373433051817,-0.13271174263091,-0.140926109714401,-0.124441304570156
cross_session__prefix_stats__random_forest,prefix_stats,random_forest,2,1,balanced_accuracy,1000,0.836862095475333,0.827172567451524,0.845615190602991,0.696864011225009,0.687218310735537,0.706494500612111,-0.139998084250324,-0.147042336215574,-0.133656754099416
cross_session__prefix_stats__random_forest,prefix_stats,random_forest,2,1,macro_f1,1000,0.835660569916734,0.828487578480198,0.842936710528183,0.701301695743535,0.692375490488252,0.709966067103725,-0.1343588741732,-0.140998205056758,-0.127553698813517
